EMPLOYEEID;JOBID;NEWTOPOSITION;PAYGRADEID;FULLTIME;COMPANYCODE;BUSINESSAREA
E260474;292;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E260750;444;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E261042;444;FALSE;GR-13;TRUE;ACME LA Corp.;Business Area D
E261405;442;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E261551;402;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E261619;454;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E261658;461;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E262940;454;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E263151;444;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E263253;361;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E263395;452;FALSE;GR-14;TRUE;ACME NA Corp.;Business Area A
E263686;452;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E264178;301;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E256376;401;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area B
E264544;441;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E264862;461;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E264942;433;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E265621;500;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E265658;212;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E265767;442;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E265901;432;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E266311;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E266545;331;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E266882;447;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E267365;452;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E267514;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E264415;445;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E268196;446;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E269349;411;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E269436;454;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E054815;431;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E270356;411;TRUE;GR-13;TRUE;ACME LA Corp.;Business Area B
E270671;301;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E271718;442;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E266648;443;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E272194;443;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E272422;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E272781;443;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area C
E272808;452;FALSE;GR-16;TRUE;ACME Western EU SE;Business Area C
E273434;453;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E274097;453;FALSE;GR-8;TRUE;ACME Western EU SE;Business Area C
E274203;454;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E274811;312;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E276272;444;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area D
E276456;221;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E270979;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E276524;442;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E276634;444;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E271880;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E276873;454;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E276948;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E277282;361;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E277443;431;FALSE;GR-11;TRUE;ACME LA Corp.;Business Area B
E277603;455;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E277747;362;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E277846;362;TRUE;GR-16;TRUE;ACME LA Corp.;Business Area D
E278576;462;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E279983;453;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E280104;453;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area D
E280139;444;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E280274;443;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E280278;454;FALSE;GR-8;TRUE;ACME NA Corp.;Business Area A
E281696;442;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E282189;252;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E282234;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E282371;252;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E282612;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E282726;443;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E282948;444;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E283320;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E283665;431;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E283744;431;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E283996;445;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E284241;454;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E284601;443;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E284913;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E285378;455;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E286755;452;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E286888;454;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E286939;434;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E273393;453;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E287170;251;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E287352;452;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E287397;454;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E287629;454;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E287858;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E287920;444;FALSE;GR-14;TRUE;ACME NA Corp.;Business Area A
E288317;445;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E288381;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E288676;452;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area B
E289093;454;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E289175;291;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E289224;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E289523;453;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E289723;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E289925;281;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E291083;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E291172;445;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E291985;402;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E292815;450;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E292859;454;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E292880;252;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E293025;443;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area B
E293226;373;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E293858;442;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E055746;291;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area C
E294377;444;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E295047;454;TRUE;GR-13;TRUE;ACME LA Corp.;Business Area B
E296041;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E296306;422;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E296403;602;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E276486;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E296701;443;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area C
E276871;443;FALSE;GR-16;TRUE;ACME Western EU SE;Business Area C
E296921;432;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E297059;432;FALSE;GR-8;TRUE;ACME Western EU SE;Business Area C
E297373;454;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E297406;452;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E297522;454;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E287100;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E057923;454;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E058030;442;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E296679;444;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E296891;454;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E297819;442;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E298402;251;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E059463;450;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E223494;454;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E223604;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E223612;445;FALSE;GR-13;TRUE;ACME LA Corp.;Business Area D
E223844;413;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E224244;446;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E224289;253;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E224461;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E225055;455;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E225076;445;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E225257;455;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E225459;362;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E225490;456;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E225540;404;FALSE;GR-14;TRUE;ACME NA Corp.;Business Area A
E225557;446;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E225588;293;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E225776;447;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E225789;445;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area B
E225978;443;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E226543;381;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E227179;401;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E227786;252;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E228064;452;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E228336;341;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E228906;452;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E228925;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E229254;233;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E214716;461;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E230356;403;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E223491;443;TRUE;GR-11;TRUE;ACME LA Corp.;Business Area D
E230769;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E231772;444;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E232296;443;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E232625;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E233310;445;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E234104;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E234286;442;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area B
E234491;452;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E234576;444;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E235360;447;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E235701;393;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E235736;452;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area C
E235804;443;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E235856;411;TRUE;GR-13;TRUE;ACME LA Corp.;Business Area B
E236190;423;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E236816;447;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E237201;444;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E237337;454;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E237469;452;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E237824;252;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E237930;447;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area C
E238253;252;FALSE;GR-16;TRUE;ACME Western EU SE;Business Area C
E019621;452;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E019691;442;FALSE;GR-8;TRUE;ACME Western EU SE;Business Area C
E019974;383;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E020098;291;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E020895;411;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E020953;442;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E021020;452;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E021392;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E021407;402;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area D
E021799;453;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E021981;312;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E023000;445;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E023067;252;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E023753;293;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E024367;445;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E024764;450;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E024878;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E024956;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E024971;455;FALSE;GR-11;TRUE;ACME LA Corp.;Business Area B
E024981;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E025357;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E025447;442;TRUE;GR-16;TRUE;ACME LA Corp.;Business Area D
E025684;454;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E025802;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E025941;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E026335;402;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area D
E026664;232;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E026901;444;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E028929;452;FALSE;GR-8;TRUE;ACME NA Corp.;Business Area A
E029229;454;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E029232;452;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E029363;454;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E029434;211;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E030148;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E030252;454;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E030308;453;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E030449;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E030847;432;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E031336;444;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E031412;445;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E086988;444;FALSE;GR-12;TRUE;ACME Western EU SE;Business Area D
E087094;461;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E087196;461;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E087567;401;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E087682;444;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E088459;450;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E088523;441;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E089235;441;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E089567;443;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E089958;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E090279;441;FALSE;GR-13;TRUE;ACME LA Corp.;Business Area D
E090444;445;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E090647;454;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E090926;454;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E091364;433;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E091684;411;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E091951;452;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E092267;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E092410;454;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E092563;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E092666;454;FALSE;GR-14;TRUE;ACME NA Corp.;Business Area A
E092752;455;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E093962;445;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E094125;454;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E094409;444;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area B
E094843;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E095003;452;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E095280;233;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E095568;454;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E096719;443;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E096826;445;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E096889;322;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E097066;252;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E097292;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E097660;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E097675;454;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E098415;452;TRUE;GR-11;TRUE;ACME LA Corp.;Business Area D
E098433;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E099384;442;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E100133;454;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E100468;455;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E100693;443;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E101459;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E101985;453;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area B
E102443;444;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E102505;453;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E102511;450;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E102787;602;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E103157;252;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area C
E103930;451;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E104104;444;TRUE;GR-13;TRUE;ACME LA Corp.;Business Area B
E104333;402;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E104358;443;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E104691;444;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E105518;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E106119;445;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E106858;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E107272;311;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area C
E107440;402;FALSE;GR-16;TRUE;ACME Western EU SE;Business Area C
E107993;446;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E108140;452;FALSE;GR-8;TRUE;ACME Western EU SE;Business Area C
E108157;452;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
E108402;444;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E108817;444;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E109328;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E109436;443;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E109511;444;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E109538;601;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area D
E109656;253;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E109659;392;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E110370;443;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E110484;455;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E110507;455;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E111323;445;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E111614;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E111786;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E111790;446;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E111852;455;FALSE;GR-11;TRUE;ACME LA Corp.;Business Area B
E111869;453;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E112728;455;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E113023;455;TRUE;GR-16;TRUE;ACME LA Corp.;Business Area D
E113470;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E113896;445;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E114037;413;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E114353;455;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area D
E114771;445;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E115460;455;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E115682;445;FALSE;GR-8;TRUE;ACME NA Corp.;Business Area A
E115849;403;FALSE;GR-12;TRUE;ACME NA Corp.;Business Area A
E116009;444;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E116630;445;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E116633;445;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E117943;445;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E118900;442;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E118926;445;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E118944;432;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E118987;445;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E119030;445;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E119589;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E119646;443;FALSE;GR-12;TRUE;ACME Western EU SE;Business Area D
E119697;433;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E119954;454;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E120682;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E120686;445;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E120802;362;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E121225;454;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E121650;452;FALSE;H-1;TRUE;ACME NA Corp.;Business Area A
E121810;445;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E121833;412;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E122177;454;FALSE;GR-13;TRUE;ACME LA Corp.;Business Area D
E122701;442;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E122891;455;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E123132;455;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E123159;444;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E123361;442;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E123596;443;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E123853;452;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E124650;251;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area C
E124681;455;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E124730;455;FALSE;GR-14;TRUE;ACME NA Corp.;Business Area A
E124971;403;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E125051;442;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E125270;214;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area D
E125526;443;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area B
E125607;401;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E125799;443;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E125990;444;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E127660;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E127746;445;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E129386;445;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E129474;443;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E129568;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E129696;443;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area C
E129946;252;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E130149;453;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E130663;403;TRUE;GR-11;TRUE;ACME LA Corp.;Business Area D
E131047;453;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E131813;453;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E131916;442;TRUE;GR-9;TRUE;ACME LA Corp.;Business Area D
E131960;292;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E132133;454;FALSE;GR-7;TRUE;ACME NA Corp.;Business Area C
E132557;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E132690;444;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area B
E132807;453;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E132837;443;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E132879;252;FALSE;GR-9;TRUE;ACME Western EU SE;Business Area D
E133067;443;FALSE;GR-7;TRUE;ACME Western EU SE;Business Area D
E133851;361;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area C
E134320;453;FALSE;GR-9;TRUE;ACME LA Corp.;Business Area B
E134406;432;TRUE;GR-13;TRUE;ACME LA Corp.;Business Area B
E134573;444;FALSE;GR-9;TRUE;ACME NA Corp.;Business Area A
E134994;461;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E134996;321;TRUE;GR-9;TRUE;ACME NA Corp.;Business Area C
E135028;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E136475;452;FALSE;GR-10;TRUE;ACME NA Corp.;Business Area A
E136978;452;FALSE;GR-6;TRUE;ACME LA Corp.;Business Area C
E137071;452;FALSE;GR-11;TRUE;ACME Western EU SE;Business Area C
E137375;462;FALSE;GR-16;TRUE;ACME Western EU SE;Business Area C
E137521;450;FALSE;GR-13;TRUE;ACME Western EU SE;Business Area C
