SALESORDERID;SALESORDERITEM;PRODUCTID;NOTEID;CURRENCY;GROSSAMOUNT;NETAMOUNT;TAXAMOUNT;ITEMATPSTATUS;OPITEMPOS;QUANTITY;QUANTITYUNIT;DELIVERYDATE
200000954;10;FG226;;USD;299;261,63;37,38;I;;6;EA;20190209
200000955;10;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;10;EA;20190212
200000955;20;FG226;;USD;299;261,63;37,38;I;;5;EA;20190212
200000955;30;MZ-FG-C10;;USD;1200;1050;150;I;;6;EA;20190212
200000955;40;MZ-TG-A27;;USD;2250;1968,75;281,25;I;;3;EA;20190212
200000955;50;MZ-FG-C10;;USD;1200;1050;150;I;;1;EA;20190212
200000956;10;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;6;EA;20190217
200000956;20;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;1;EA;20190217
200000956;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;10;EA;20190217
200000956;40;MZ-FG-E101;;USD;249;217,88;31,13;I;;5;EA;20190217
200000957;10;MZ-TG-A27;;USD;2250;1968,75;281,25;I;;1;EA;20190220
200000957;20;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;1;EA;20190220
200000957;30;MZ-FG-C950;;USD;689;602,88;86,13;I;;10;EA;20190220
200000957;40;MZ-TG-Y240;;USD;400;350;50;I;;8;EA;20190220
200000957;50;MZ-FG-E16;;USD;2499;2186,63;312,38;I;;6;EA;20190220
200000957;60;MZ-TG-A27;;USD;2250;1968,75;281,25;I;;3;EA;20190220
200000958;10;MZ-TG-Y240;;USD;400;350;50;I;;1;EA;20190216
200000958;20;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;3;EA;20190216
200000959;10;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;7;EA;20190215
200000960;10;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;10;EA;20190202
200000961;10;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;1;EA;20190303
200000962;10;MZ-FG-E103;;USD;449;392,88;56,13;I;;8;EA;20190228
200000962;20;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;7;EA;20190228
200000962;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;8;EA;20190228
200000962;40;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;8;EA;20190228
200000963;10;MZ-FG-C21;;USD;649;567,88;81,13;I;;10;EA;20190227
200000964;10;TG11;;USD;3000;2625;375;I;;4;EA;20190306
200000964;20;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;2;EA;20190306
200000965;10;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;1;EA;20190227
200000965;20;MZ-TG-Y240;;USD;400;350;50;I;;1;EA;20190227
200000966;10;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;1;EA;20190301
200000966;20;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;7;EA;20190301
200000966;30;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;4;EA;20190301
200000966;40;TG11;;USD;3000;2625;375;I;;6;EA;20190301
200000966;50;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;2;EA;20190301
200000966;60;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;3;EA;20190301
200000967;10;MZ-FG-C10;;USD;1200;1050;150;I;;3;EA;20190308
200000968;10;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;6;EA;20190301
200000968;20;MZ-FG-E108;;USD;1299;1136,63;162,38;I;;10;EA;20190301
200000968;30;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;4;EA;20190301
200000968;40;MZ-FG-C990;;USD;721;630,88;90,13;I;;9;EA;20190301
200000968;50;FG226;;USD;299;261,63;37,38;I;;7;EA;20190301
200000968;60;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;9;EA;20190301
200000969;10;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;4;EA;20190308
200000970;10;MZ-FG-E16;;USD;2499;2186,63;312,38;I;;7;EA;20190319
200000970;20;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;6;EA;20190319
200000971;10;MZ-FG-C10;;USD;1200;1050;150;I;;1;EA;20190319
200000972;10;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;6;EA;20190319
200000972;20;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;5;EA;20190319
200000972;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;9;EA;20190319
200000972;40;FG226;;USD;299;261,63;37,38;I;;6;EA;20190319
200000973;10;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;10;EA;20190328
200000973;20;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;6;EA;20190328
200000973;30;MZ-FG-C21;;USD;649;567,88;81,13;I;;8;EA;20190328
200000973;40;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;5;EA;20190328
200000973;50;MZ-FG-E101;;USD;249;217,88;31,13;I;;4;EA;20190328
200000973;60;MZ-TG-Y240;;USD;400;350;50;I;;6;EA;20190328
200000974;10;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;2;EA;20190326
200000974;20;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;5;EA;20190326
200000974;30;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;2;EA;20190326
200000974;40;MZ-FG-C950;;USD;689;602,88;86,13;I;;6;EA;20190326
200000974;50;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;9;EA;20190326
200000975;10;MZ-FG-C990;;USD;721;630,88;90,13;I;;1;EA;20190329
200000975;20;MZ-FG-C10;;USD;1200;1050;150;I;;7;EA;20190329
200000976;10;MZ-FG-C950;;USD;689;602,88;86,13;I;;3;EA;20190327
200000976;20;MZ-FG-E101;;USD;249;217,88;31,13;I;;9;EA;20190327
200000976;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;6;EA;20190327
200000976;40;MZ-FG-C950;;USD;689;602,88;86,13;I;;2;EA;20190327
200000977;10;MZ-TG-Y200;;USD;399;349,13;49,88;I;;2;EA;20190307
200000977;20;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;10;EA;20190307
200000978;10;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;8;EA;20190318
200000978;20;MZ-FG-C990;;USD;721;630,88;90,13;I;;9;EA;20190318
200000978;30;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;8;EA;20190318
200000978;40;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;10;EA;20190318
200000978;50;FG226;;USD;299;261,63;37,38;I;;7;EA;20190318
200000978;60;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;8;EA;20190318
200000979;10;MZ-TG-A27;;USD;2250;1968,75;281,25;I;;7;EA;20190318
200000979;20;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;1;EA;20190318
200000979;30;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;4;EA;20190318
200000980;10;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;10;EA;20190403
200000980;20;MZ-FG-E101;;USD;249;217,88;31,13;I;;2;EA;20190403
200000980;30;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;9;EA;20190403
200000981;10;FG226;;USD;299;261,63;37,38;I;;10;EA;20190328
200000981;20;MZ-FG-C10;;USD;1200;1050;150;I;;3;EA;20190328
200000982;10;CM-FL-V00;;USD;799;699,13;99,88;I;;10;EA;20190325
200000982;20;MZ-FG-E108;;USD;1299;1136,63;162,38;I;;9;EA;20190325
200000982;30;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;9;EA;20190325
200000982;40;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;9;EA;20190325
200000982;50;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;1;EA;20190325
200000982;60;MZ-FG-C10;;USD;1200;1050;150;I;;10;EA;20190325
200000983;10;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;5;EA;20190402
200000983;20;MZ-FG-E16;;USD;2499;2186,63;312,38;I;;4;EA;20190402
200000983;30;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;3;EA;20190402
200000983;40;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;5;EA;20190402
200000983;50;CM-FL-V00;;USD;799;699,13;99,88;I;;10;EA;20190402
200000984;10;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;8;EA;20190320
200000985;10;MZ-FG-C21;;USD;649;567,88;81,13;I;;7;EA;20190403
200000985;20;FG226;;USD;299;261,63;37,38;I;;9;EA;20190403
200000986;10;MZ-TG-Y240;;USD;400;350;50;I;;4;EA;20190415
200000986;20;MZ-TG-SR01;;USD;4800;4200;600;I;;8;EA;20190415
200000986;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;2;EA;20190415
200000986;40;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;8;EA;20190415
200000987;10;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;5;EA;20190420
200000987;20;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;2;EA;20190420
200000988;10;MZ-FG-C900;;USD;525;459,38;65,63;I;;5;EA;20190417
200000988;20;TG11;;USD;3000;2625;375;I;;6;EA;20190417
200000988;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;10;EA;20190417
200000988;40;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;2;EA;20190417
200000989;10;MZ-TG-SR01;;USD;4800;4200;600;I;;4;EA;20190410
200000989;20;MZ-TG-Y240;;USD;400;350;50;I;;2;EA;20190410
200000989;30;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;8;EA;20190410
200000990;10;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;6;EA;20190419
200000990;20;MZ-FG-C10;;USD;1200;1050;150;I;;5;EA;20190419
200000990;30;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;2;EA;20190419
200000991;10;MZ-FG-E101;;USD;249;217,88;31,13;I;;9;EA;20190331
200000991;20;FG226;;USD;299;261,63;37,38;I;;10;EA;20190331
200000992;10;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;9;EA;20190326
200000992;20;MZ-TG-SR01;;USD;4800;4200;600;I;;3;EA;20190326
200000992;30;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;8;EA;20190326
200000992;40;TG11;;USD;3000;2625;375;I;;8;EA;20190326
200000992;50;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;6;EA;20190326
200000992;60;MZ-FG-E102;;USD;399;349,13;49,88;I;;3;EA;20190326
200000993;10;FG226;;USD;299;261,63;37,38;I;;8;EA;20190409
200000993;20;MZ-FG-E102;;USD;399;349,13;49,88;I;;4;EA;20190409
200000993;30;MZ-FG-E103;;USD;449;392,88;56,13;I;;2;EA;20190409
200000993;40;MZ-FG-E103;;USD;449;392,88;56,13;I;;1;EA;20190409
200000993;50;M1;;USD;1144;1001;143;I;;2;EA;20190409
200000993;60;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;10;EA;20190409
200000994;10;MZ-TG-SR01;;USD;4800;4200;600;I;;8;EA;20190414
200000994;20;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;1;EA;20190414
200000995;10;CM-FL-V00;;USD;799;699,13;99,88;I;;9;EA;20190408
200000995;20;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;3;EA;20190408
200000995;30;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;9;EA;20190408
200000996;10;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;3;EA;20190426
200000996;20;MZ-FG-E16;;USD;2499;2186,63;312,38;I;;10;EA;20190426
200000996;30;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;6;EA;20190426
200000996;40;TG11;;USD;3000;2625;375;I;;2;EA;20190426
200000996;50;MZ-FG-C10;;USD;1200;1050;150;I;;10;EA;20190426
200000997;10;MZ-TG-Y240;;USD;400;350;50;I;;3;EA;20190404
200000997;20;MZ-FG-E103;;USD;449;392,88;56,13;I;;10;EA;20190404
200000997;30;MZ-FG-C10;;USD;1200;1050;150;I;;9;EA;20190404
200000997;40;MZ-FG-E103;;USD;449;392,88;56,13;I;;6;EA;20190404
200000997;50;MZ-FG-E101;;USD;249;217,88;31,13;I;;10;EA;20190404
200000997;60;M-01;;USD;319;279,13;39,88;I;;5;EA;20190404
200000998;10;MZ-TG-Y240;;USD;400;350;50;I;;1;EA;20190503
200000998;20;MZ-FG-C900;;USD;525;459,38;65,63;I;;9;EA;20190503
200000998;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;2;EA;20190503
200000998;40;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;6;EA;20190503
200000999;10;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;2;EA;20190417
200000999;20;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;6;EA;20190417
200000999;30;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;4;EA;20190417
200001000;10;MZ-FG-C21;;USD;649;567,88;81,13;I;;6;EA;20190503
200001000;20;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;5;EA;20190503
200001000;30;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;1;EA;20190503
200001000;40;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;5;EA;20190503
200001000;50;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;10;EA;20190503
200001000;60;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;5;EA;20190503
200001001;10;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;5;EA;20190504
200001001;20;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;5;EA;20190504
200001001;30;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;10;EA;20190504
200001001;40;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;8;EA;20190504
200001001;50;MZ-FG-E102;;USD;399;349,13;49,88;I;;6;EA;20190504
200001001;60;M-01;;USD;319;279,13;39,88;I;;5;EA;20190504
200001002;10;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;3;EA;20190423
200001002;20;MZ-FG-E101;;USD;249;217,88;31,13;I;;10;EA;20190423
200001002;30;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;5;EA;20190423
200001002;40;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;9;EA;20190423
200001002;50;MZ-TG-SR01;;USD;4800;4200;600;I;;10;EA;20190423
200001003;10;MZ-FG-C900;;USD;525;459,38;65,63;I;;6;EA;20190506
200001003;20;MZ-FG-E102;;USD;399;349,13;49,88;I;;1;EA;20190506
200001003;30;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;4;EA;20190506
200001003;40;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;8;EA;20190506
200001004;10;FG226;;USD;299;261,63;37,38;I;;3;EA;20190501
200001004;20;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;8;EA;20190501
200001004;30;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;1;EA;20190501
200001004;40;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;8;EA;20190501
200001004;50;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;8;EA;20190501
200001004;60;FG226;;USD;299;261,63;37,38;I;;10;EA;20190501
200001005;10;M-01;;USD;319;279,13;39,88;I;;9;EA;20190506
200001005;20;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;9;EA;20190506
200001005;30;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;3;EA;20190506
200001005;40;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;4;EA;20190506
200001005;50;TG11;;USD;3000;2625;375;I;;9;EA;20190506
200001005;60;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;2;EA;20190506
200001006;10;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;3;EA;20190423
200001006;20;MZ-TG-E202;;USD;4599;4024,13;574,88;I;;5;EA;20190423
200001006;30;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;1;EA;20190423
200001006;40;MZ-FG-E103;;USD;449;392,88;56,13;I;;10;EA;20190423
200001006;50;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;7;EA;20190423
200001007;10;MZ-TG-Y240;;USD;400;350;50;I;;2;EA;20190510
200001007;20;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;5;EA;20190510
200001007;30;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;4;EA;20190510
200001007;40;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;5;EA;20190510
200001007;50;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;10;EA;20190510
200001008;10;MZ-FG-C10;;USD;1200;1050;150;I;;3;EA;20190505
200001008;20;TG11;;USD;3000;2625;375;I;;8;EA;20190505
200001008;30;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;5;EA;20190505
200001008;40;MZ-FG-E102;;USD;399;349,13;49,88;I;;3;EA;20190505
200001008;50;FG226;;USD;299;261,63;37,38;I;;10;EA;20190505
200001008;60;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;4;EA;20190505
200001009;10;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;9;EA;20190510
200001009;20;MZ-FG-C990;;USD;721;630,88;90,13;I;;4;EA;20190510
200001009;30;CM-FL-V00;;USD;799;699,13;99,88;I;;5;EA;20190510
200001009;40;MZ-FG-C990;;USD;721;630,88;90,13;I;;3;EA;20190510
200001009;50;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;5;EA;20190510
200001009;60;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;1;EA;20190510
200001010;10;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;1;EA;20190515
200001010;20;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;1;EA;20190515
200001010;30;MZ-FG-C10;;USD;1200;1050;150;I;;10;EA;20190515
200001010;40;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;5;EA;20190515
200001010;50;MZ-TG-Y240;;USD;400;350;50;I;;2;EA;20190515
200001011;10;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;1;EA;20190423
200001011;20;MZ-TG-A27;;USD;2250;1968,75;281,25;I;;8;EA;20190423
200001011;30;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;4;EA;20190423
200001011;40;M1;;USD;1144;1001;143;I;;6;EA;20190423
200001012;10;M1;;USD;1144;1001;143;I;;9;EA;20190505
200001012;20;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;5;EA;20190505
200001012;30;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;6;EA;20190505
200001012;40;MZ-FG-E16;;USD;2499;2186,63;312,38;I;;2;EA;20190505
200001012;50;M1;;USD;1144;1001;143;I;;3;EA;20190505
200001012;60;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;1;EA;20190505
200001013;10;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;2;EA;20190511
200001013;20;CM-FL-V00;;USD;799;699,13;99,88;I;;7;EA;20190511
200001013;30;M1;;USD;1144;1001;143;I;;1;EA;20190511
200001013;40;MZ-TG-A27;;USD;2250;1968,75;281,25;I;;2;EA;20190511
200001014;10;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;8;EA;20190426
200001014;20;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;6;EA;20190426
200001014;30;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;10;EA;20190426
200001014;40;MZ-TG-Y200;;USD;399;349,13;49,88;I;;7;EA;20190426
200001014;50;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;6;EA;20190426
200001015;10;FG226;;USD;299;261,63;37,38;I;;2;EA;20190514
200001016;10;MZ-FG-C10;;USD;1200;1050;150;I;;1;EA;20190522
200001016;20;MZ-FG-C990;;USD;721;630,88;90,13;I;;9;EA;20190522
200001016;30;MZ-FG-E103;;USD;449;392,88;56,13;I;;4;EA;20190522
200001017;10;MZ-TG-SR01;;USD;4800;4200;600;I;;10;EA;20190427
200001017;20;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;2;EA;20190427
200001018;10;MZ-TG-Y200;;USD;399;349,13;49,88;I;;4;EA;20190515
200001018;20;MZ-FG-E108;;USD;1299;1136,63;162,38;I;;7;EA;20190515
200001018;30;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;4;EA;20190515
200001018;40;MZ-TG-Y200;;USD;399;349,13;49,88;I;;4;EA;20190515
200001018;50;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;8;EA;20190515
200001019;10;MZ-TG-A25;;USD;1500;1312,5;187,5;I;;7;EA;20190509
200001019;20;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;1;EA;20190509
200001019;30;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;5;EA;20190509
200001019;40;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;5;EA;20190509
200001019;50;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;7;EA;20190509
200001019;60;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;4;EA;20190509
200001020;10;MZ-TG-SR01;;USD;4800;4200;600;I;;3;EA;20190519
200001020;20;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;3;EA;20190519
200001020;30;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;8;EA;20190519
200001021;10;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;9;EA;20190531
200001021;20;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;10;EA;20190531
200001021;30;MZ-FG-E102;;USD;399;349,13;49,88;I;;9;EA;20190531
200001021;40;MZ-FG-E16;;USD;2499;2186,63;312,38;I;;7;EA;20190531
200001021;50;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;4;EA;20190531
200001021;60;MZ-FG-E16;;USD;2499;2186,63;312,38;I;;10;EA;20190531
200001022;10;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;1;EA;20190531
200001022;20;MZ-FG-E103;;USD;449;392,88;56,13;I;;10;EA;20190531
200001022;30;MZ-FG-E103;;USD;449;392,88;56,13;I;;5;EA;20190531
200001023;10;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;10;EA;20190505
200001023;20;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;8;EA;20190505
200001023;30;MZ-FG-E102;;USD;399;349,13;49,88;I;;7;EA;20190505
200001023;40;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;10;EA;20190505
200001024;10;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;4;EA;20190510
200001024;20;MZ-FG-C10;;USD;1200;1050;150;I;;10;EA;20190510
200001024;30;MZ-FG-E103;;USD;449;392,88;56,13;I;;3;EA;20190510
200001025;10;MZ-FG-R300;;USD;1250;1093,75;156,25;I;;5;EA;20190526
200001025;20;FG226;;USD;299;261,63;37,38;I;;2;EA;20190526
200001025;30;MZ-FG-C10;;USD;1200;1050;150;I;;9;EA;20190526
200001025;40;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;10;EA;20190526
200001025;50;FG226;;USD;299;261,63;37,38;I;;10;EA;20190526
200001026;10;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;8;EA;20190513
200001026;20;MZ-FG-E101;;USD;249;217,88;31,13;I;;8;EA;20190513
200001026;30;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;3;EA;20190513
200001026;40;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;8;EA;20190513
200001026;50;MZ-FG-C990;;USD;721;630,88;90,13;I;;10;EA;20190513
200001027;10;MZ-FG-C900;;USD;525;459,38;65,63;I;;10;EA;20190518
200001027;20;MZ-TG-Y120;;USD;7900;6912,5;987,5;I;;9;EA;20190518
200001027;30;FG226;;USD;299;261,63;37,38;I;;9;EA;20190518
200001027;40;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;8;EA;20190518
200001027;50;MZ-FG-C990;;USD;721;630,88;90,13;I;;10;EA;20190518
200001028;10;MZ-TG-Y200;;USD;399;349,13;49,88;I;;5;EA;20190527
200001028;20;MZ-FG-E16;;USD;2499;2186,63;312,38;I;;10;EA;20190527
200001029;10;M1;;USD;1144;1001;143;I;;4;EA;20190514
200001029;20;MZ-FG-C900;;USD;525;459,38;65,63;I;;9;EA;20190514
200001029;30;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;7;EA;20190514
200001029;40;MZ-FG-E15;;USD;3999;3499,13;499,88;I;;10;EA;20190514
200001029;50;CM-FL-V00;;USD;799;699,13;99,88;I;;8;EA;20190514
200001030;10;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;1;EA;20190515
200001030;20;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;6;EA;20190515
200001030;30;MZ-TG-SR01;;USD;4800;4200;600;I;;8;EA;20190515
200001030;40;CM-FL-V00;;USD;799;699,13;99,88;I;;10;EA;20190515
200001031;10;MZ-TG-Y200;;USD;399;349,13;49,88;I;;1;EA;20190604
200001031;20;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;1;EA;20190604
200001032;10;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;4;EA;20190615
200001032;20;MZ-FG-C20;;USD;1361;1190,88;170,13;I;;2;EA;20190615
200001032;30;MZ-FG-E103;;USD;449;392,88;56,13;I;;8;EA;20190615
200001033;10;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;8;EA;20190517
200001034;10;CM-FL-V00;;USD;799;699,13;99,88;I;;8;EA;20190518
200001035;10;MZ-TG-Y200;;USD;399;349,13;49,88;I;;8;EA;20190604
200001035;20;MZ-FG-E102;;USD;399;349,13;49,88;I;;5;EA;20190604
200001035;30;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;4;EA;20190604
200001035;40;MZ-TG-A26;;USD;1900;1662,5;237,5;I;;9;EA;20190604
200001035;50;TG11;;USD;3000;2625;375;I;;7;EA;20190604
200001035;60;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;10;EA;20190604
200001036;10;MZ-TG-Y240;;USD;400;350;50;I;;7;EA;20190607
200001037;10;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;7;EA;20190616
200001037;20;MZ-FG-E108;;USD;1299;1136,63;162,38;I;;3;EA;20190616
200001038;10;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;6;EA;20190613
200001039;10;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;4;EA;20190609
200001039;20;MZ-FG-E103;;USD;449;392,88;56,13;I;;10;EA;20190609
200001039;30;MZ-FG-R200;;USD;1499;1311,63;187,38;I;;5;EA;20190609
200001040;10;MZ-FG-M550;;USD;2499;2186,63;312,38;I;;7;EA;20190528
200001040;20;MZ-FG-E101;;USD;249;217,88;31,13;I;;3;EA;20190528
200001040;30;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;6;EA;20190528
200001040;40;MZ-FG-C950;;USD;689;602,88;86,13;I;;2;EA;20190528
200001040;50;M-01;;USD;319;279,13;39,88;I;;7;EA;20190528
200001040;60;MZ-FG-E16;;USD;2499;2186,63;312,38;I;;9;EA;20190528
200001041;10;MZ-TG-A20;;USD;3999;3499,13;499,88;I;;9;EA;20190610
200001042;10;MZ-FG-M525;;USD;1999;1749,13;249,88;I;;5;EA;20190620
200001042;20;M1;;USD;1144;1001;143;I;;7;EA;20190620
200001042;30;MZ-FG-E103;;USD;449;392,88;56,13;I;;5;EA;20190620
200001043;10;MZ-FG-E108;;USD;1299;1136,63;162,38;I;;7;EA;20190612
200001043;20;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;3;EA;20190612
200001043;30;MZ-FG-P010;;USD;1199;1049,13;149,88;I;;7;EA;20190612
200001043;40;MZ-FG-R100;;USD;4999;4374,13;624,88;I;;3;EA;20190612
200001043;50;MZ-FG-M500;;USD;5499;4811,63;687,38;I;;8;EA;20190612
200001043;60;MZ-FG-E17;;USD;2499;2186,63;312,38;I;;9;EA;20190612
